Inning_No,Ball_No,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,14.2,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,4,0,,,,,,,
1,14.3,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,14.4,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,14.5,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,14.6,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,15.1,Zimbabwe,H Masakadza,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
1,15.2,Zimbabwe,H Masakadza,CK Coventry,Mohammad Ashraful,0,0,,,,,,caught,H Masakadza
1,15.3,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,15.4,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,15.5,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,15.6,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,16.1,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,1,0,,,,,,,
1,16.2,Zimbabwe,CK Coventry,BRM Taylor,Mahmudullah,0,0,,,,,,,
1,16.3,Zimbabwe,CK Coventry,BRM Taylor,Mahmudullah,1,0,,,,,,,
1,16.4,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,0,0,,,,,,,
1,16.5,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,0,0,,,,,,,
1,16.6,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,1,0,,,,,,,
1,17.1,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
1,17.2,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
1,17.3,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,17.4,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,17.5,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,1,0,,,,,,,
1,17.6,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
1,18.1,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,18.2,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,18.3,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,1,1,,,,,,
1,18.4,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,18.5,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,18.6,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
1,18.7,Zimbabwe,BRM Taylor,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,19.1,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
1,19.2,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,1,0,,,,,,,
1,19.3,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
1,19.4,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
1,19.5,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,1,0,,,,,,,
1,19.6,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,2,0,,,,,,,
1,20.1,Zimbabwe,CK Coventry,BRM Taylor,Enamul Haque jnr,0,0,,,,,,,
1,20.2,Zimbabwe,CK Coventry,BRM Taylor,Enamul Haque jnr,1,0,,,,,,,
1,20.3,Zimbabwe,BRM Taylor,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,20.4,Zimbabwe,BRM Taylor,CK Coventry,Enamul Haque jnr,0,0,,,,,,lbw,BRM Taylor
1,20.5,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,20.6,Zimbabwe,CK Coventry,SC Williams,Enamul Haque jnr,1,0,,,,,,,
1,21.1,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,0,0,,,,,,,
1,21.2,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,1,0,,,,,,,
1,21.3,Zimbabwe,SC Williams,CK Coventry,Naeem Islam,1,0,,,,,,,
1,21.4,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,0,0,,,,,,,
1,21.5,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,0,0,,,,,,,
1,21.6,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,1,0,,,,,,,
1,22.1,Zimbabwe,CK Coventry,SC Williams,Enamul Haque jnr,1,0,,,,,,,
1,22.2,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,22.3,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,22.4,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,22.5,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,22.6,Zimbabwe,SC Williams,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,23.1,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,0,0,,,,,,,
1,23.2,Zimbabwe,CK Coventry,SC Williams,Naeem Islam,1,0,,,,,,,
1,23.3,Zimbabwe,SC Williams,CK Coventry,Naeem Islam,0,0,,,,,,,
1,23.4,Zimbabwe,SC Williams,CK Coventry,Naeem Islam,2,0,,,,,,,
1,23.5,Zimbabwe,SC Williams,CK Coventry,Naeem Islam,0,0,,,,,,bowled,SC Williams
1,23.6,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,0,0,,,,,,,
1,24.1,Zimbabwe,CK Coventry,S Matsikenyeri,Enamul Haque jnr,1,0,,,,,,,
1,24.2,Zimbabwe,S Matsikenyeri,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,24.3,Zimbabwe,S Matsikenyeri,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,24.4,Zimbabwe,S Matsikenyeri,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,24.5,Zimbabwe,S Matsikenyeri,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,24.6,Zimbabwe,CK Coventry,S Matsikenyeri,Enamul Haque jnr,0,0,,,,,,,
1,25.1,Zimbabwe,S Matsikenyeri,CK Coventry,Naeem Islam,1,0,,,,,,,
