Ball,Inning_No,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Runs_by_batsman,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes
70,1,21.5,CK Coventry,SC Williams,Naeem Islam,0,63,90,0,,,,
71,1,21.6,CK Coventry,SC Williams,Naeem Islam,1,64,90.14084507,0,,,,
72,1,22.1,CK Coventry,SC Williams,Enamul Haque jnr,1,65,90.27777778,0,,,,
73,1,23.1,CK Coventry,SC Williams,Naeem Islam,0,65,89.04109589,0,,,,
74,1,23.2,CK Coventry,SC Williams,Naeem Islam,1,66,89.18918919,0,,,,
75,1,24.1,CK Coventry,S Matsikenyeri,Enamul Haque jnr,1,67,89.33333333,0,,,,
76,1,24.6,CK Coventry,S Matsikenyeri,Enamul Haque jnr,0,67,88.15789474,0,,,,
77,1,25.2,CK Coventry,S Matsikenyeri,Naeem Islam,0,67,87.01298701,0,,,,
78,1,25.3,CK Coventry,S Matsikenyeri,Naeem Islam,2,69,88.46153846,0,,,,
79,1,25.4,CK Coventry,S Matsikenyeri,Naeem Islam,0,69,87.34177215,0,,,,
80,1,25.5,CK Coventry,S Matsikenyeri,Naeem Islam,1,70,87.5,0,,,,
81,1,26.3,CK Coventry,S Matsikenyeri,Mahmudullah,1,71,87.65432099,0,,,,
82,1,27.1,CK Coventry,S Matsikenyeri,Naeem Islam,0,71,86.58536585,0,,,,
83,1,27.2,CK Coventry,S Matsikenyeri,Naeem Islam,3,74,89.15662651,0,,,,
84,1,27.5,CK Coventry,S Matsikenyeri,Naeem Islam,0,74,88.0952381,0,,,,
85,1,27.6,CK Coventry,S Matsikenyeri,Naeem Islam,6,80,94.11764706,0,,,,
86,1,28.3,CK Coventry,S Matsikenyeri,Mahmudullah,1,81,94.18604651,0,,,,
87,1,29.5,CK Coventry,S Matsikenyeri,Enamul Haque jnr,0,81,93.10344828,0,,,,
88,1,29.6,CK Coventry,S Matsikenyeri,Enamul Haque jnr,1,82,93.18181818,0,,,,
89,1,30.1,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,84,94.38202247,0,,,,
90,1,30.2,CK Coventry,S Matsikenyeri,Shakib Al Hasan,1,85,94.44444444,0,,,,
91,1,30.5,CK Coventry,S Matsikenyeri,Shakib Al Hasan,0,85,93.40659341,0,,,,
92,1,30.6,CK Coventry,S Matsikenyeri,Shakib Al Hasan,1,86,93.47826087,0,,,,
93,1,31.1,CK Coventry,S Matsikenyeri,Mahmudullah,1,87,93.5483871,0,,,,
94,1,31.7,CK Coventry,S Matsikenyeri,Mahmudullah,4,91,96.80851064,0,,,,
95,1,32.2,CK Coventry,S Matsikenyeri,Mohammad Ashraful,1,92,96.84210526,0,,,,
96,1,32.5,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,92,95.83333333,0,,,,
97,1,32.6,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,92,94.84536082,0,,,,
98,1,33.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,92,93.87755102,0,,,,
99,1,33.4,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,93,93.93939394,0,,,,
100,1,34.2,CK Coventry,S Matsikenyeri,Naeem Islam,2,95,95,0,,,,
101,1,34.3,CK Coventry,S Matsikenyeri,Naeem Islam,1,96,95.04950495,0,,,,
102,1,35.1,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,94.11764706,0,,,,
103,1,35.2,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,93.2038835,0,,,,
104,1,35.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,92.30769231,0,,,,
105,1,35.4,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,91.42857143,1,,,1,
106,1,35.7,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,97,91.50943396,0,,,,
107,1,36.1,CK Coventry,S Matsikenyeri,Mahmudullah,0,97,90.65420561,0,,,,
108,1,36.2,CK Coventry,S Matsikenyeri,Mahmudullah,1,98,90.74074074,0,,,,
109,1,36.4,CK Coventry,S Matsikenyeri,Mahmudullah,1,99,90.82568807,0,,,,
110,1,36.6,CK Coventry,S Matsikenyeri,Mahmudullah,1,100,90.90909091,0,,,,
111,1,37.2,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,100,90.09009009,0,,,,
112,1,37.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,101,90.17857143,0,,,,
113,1,37.5,CK Coventry,S Matsikenyeri,Mahbubul Alam,2,103,91.15044248,0,,,,
114,1,37.6,CK Coventry,S Matsikenyeri,Mahbubul Alam,6,109,95.61403509,0,,,,
115,1,37.7,CK Coventry,S Matsikenyeri,Mahbubul Alam,4,113,98.26086957,0,,,,
116,1,38.2,CK Coventry,S Matsikenyeri,Syed Rasel,1,114,98.27586207,0,,,,
117,1,38.5,CK Coventry,S Matsikenyeri,Syed Rasel,0,114,97.43589744,0,,,,
118,1,38.6,CK Coventry,S Matsikenyeri,Syed Rasel,0,114,96.61016949,0,,,,
119,1,39.4,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,116,97.4789916,0,,,,
120,1,39.5,CK Coventry,S Matsikenyeri,Shakib Al Hasan,0,116,96.66666667,0,,,,
121,1,39.6,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,118,97.52066116,0,,,,
122,1,39.7,CK Coventry,S Matsikenyeri,Shakib Al Hasan,4,122,100,0,,,,
123,1,40.2,CK Coventry,S Matsikenyeri,Syed Rasel,1,123,100,0,,,,
124,1,40.5,CK Coventry,S Matsikenyeri,Syed Rasel,4,127,102.4193548,0,,,,
125,1,40.6,CK Coventry,S Matsikenyeri,Syed Rasel,2,129,103.2,0,,,,
126,1,42.1,CK Coventry,E Chigumbura,Enamul Haque jnr,0,129,102.3809524,0,,,,
127,1,42.2,CK Coventry,E Chigumbura,Enamul Haque jnr,1,130,102.3622047,0,,,,
128,1,42.4,CK Coventry,E Chigumbura,Enamul Haque jnr,0,130,101.5625,0,,,,
129,1,42.5,CK Coventry,E Chigumbura,Enamul Haque jnr,4,134,103.875969,0,,,,
130,1,42.6,CK Coventry,E Chigumbura,Enamul Haque jnr,1,135,103.8461538,0,,,,
131,1,43.2,CK Coventry,E Chigumbura,Shakib Al Hasan,2,137,104.5801527,0,,,,
132,1,43.3,CK Coventry,E Chigumbura,Shakib Al Hasan,2,139,105.3030303,0,,,,
133,1,43.4,CK Coventry,E Chigumbura,Shakib Al Hasan,1,140,105.2631579,0,,,,
