ball,1,13.4,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
ball,1,13.5,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
ball,1,13.6,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,0,0,,,,,,,
ball,1,14.1,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,1,0,,,,,,,
ball,1,14.2,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,4,0,,,,,,,
ball,1,14.3,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,14.4,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,14.5,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,14.6,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,15.1,Zimbabwe,H Masakadza,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
ball,1,15.2,Zimbabwe,H Masakadza,CK Coventry,Mohammad Ashraful,0,0,,,,,,caught,H Masakadza
ball,1,15.3,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,15.4,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,15.5,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,15.6,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,16.1,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,1,0,,,,,,,
ball,1,16.2,Zimbabwe,CK Coventry,BRM Taylor,Mahmudullah,0,0,,,,,,,
ball,1,16.3,Zimbabwe,CK Coventry,BRM Taylor,Mahmudullah,1,0,,,,,,,
ball,1,16.4,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,0,0,,,,,,,
ball,1,16.5,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,0,0,,,,,,,
ball,1,16.6,Zimbabwe,BRM Taylor,CK Coventry,Mahmudullah,1,0,,,,,,,
ball,1,17.1,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,0,0,,,,,,,
ball,1,17.2,Zimbabwe,BRM Taylor,CK Coventry,Mohammad Ashraful,1,0,,,,,,,
ball,1,17.3,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,17.4,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,0,0,,,,,,,
ball,1,17.5,Zimbabwe,CK Coventry,BRM Taylor,Mohammad Ashraful,1,0,,,,,,,
