Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,28,4.4,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,29,4.5,"SR Tendulkar","KD Karthik","DW Steyn",2,0,,,,,,,
1,30,4.6,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,31,5.1,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,32,5.2,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,33,5.3,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,34,5.4,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,35,5.5,"KD Karthik","SR Tendulkar","WD Parnell",4,0,,,,,,,
1,36,5.6,"KD Karthik","SR Tendulkar","WD Parnell",4,0,,,,,,,
1,37,6.1,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,38,6.2,"SR Tendulkar","KD Karthik","DW Steyn",4,0,,,,,,,
1,39,6.3,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,40,6.4,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,41,6.5,"SR Tendulkar","KD Karthik","DW Steyn",1,0,,,,,,,
1,42,6.6,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,43,7.1,"SR Tendulkar","KD Karthik","WD Parnell",2,0,,,,,,,
1,44,7.2,"SR Tendulkar","KD Karthik","WD Parnell",4,0,,,,,,,
1,45,7.3,"SR Tendulkar","KD Karthik","WD Parnell",2,0,,,,,,,
1,46,7.4,"SR Tendulkar","KD Karthik","WD Parnell",1,0,,,,,,,
1,47,7.5,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,48,7.6,"KD Karthik","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,49,8.1,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,50,8.2,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,51,8.3,"KD Karthik","SR Tendulkar","DW Steyn",2,0,,,,,,,
1,52,8.4,"KD Karthik","SR Tendulkar","DW Steyn",6,0,,,,,,,
1,53,8.5,"KD Karthik","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,54,8.6,"SR Tendulkar","KD Karthik","DW Steyn",1,0,,,,,,,
1,55,9.1,"SR Tendulkar","KD Karthik","WD Parnell",4,0,,,,,,,
1,56,9.2,"SR Tendulkar","KD Karthik","WD Parnell",1,0,,,,,,,
1,57,9.3,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,58,9.4,"KD Karthik","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,59,9.5,"SR Tendulkar","KD Karthik","WD Parnell",0,0,,,,,,,
1,60,9.6,"SR Tendulkar","KD Karthik","WD Parnell",4,0,,,,,,,
1,61,10.1,"KD Karthik","SR Tendulkar","DW Steyn",2,0,,,,,,,
1,62,10.2,"KD Karthik","SR Tendulkar","DW Steyn",0,0,,,,,,,
